"cbsacode","num_counties","cbsatitle","num_munis","num_local","pop_muni","pop_total","hhi_pop_muni","hhi_pop_total"
21120,1,"Elk City, OK",6,6,17296,17296,0.515656107971685,0.515656107971685
21140,1,"Elkhart-Goshen, IN",7,23,103809,310730,0.388441863963007,0.106432514216222
21180,1,"Elkins, WV",7,7,8665,8665,0.643742576888205,0.643742576888205
21220,1,"Elko, NV",4,4,28401,28401,0.558919291590605,0.558919291590605
21260,1,"Ellensburg, WA",5,5,24685,24685,0.643214421089975,0.643214421089975
21300,1,"Elmira, NY",5,16,37454,94200,0.534062926948137,0.150867767680456
21340,2,"El Paso, TX",8,8,755637,755637,0.809510869338526,0.809510869338526
21380,2,"Emporia, KS",14,34,27715,38302,0.752985404094256,0.40015918985846
21420,1,"Enid, OK",14,14,55952,55952,0.818044970339584,0.818044970339584
21460,1,"Enterprise, AL",4,4,34820,34820,0.724199026683879,0.724199026683879
21500,1,"Erie, PA",16,38,126534,269011,0.559361634182737,0.172714814966992
21540,1,"Escanaba, MI",3,17,17851,37013,0.5703086518084,0.168420971192526
21580,1,"Española, NM",2,2,11399,11399,0.85278820959057,0.85278820959057
21640,2,"Eufaula, AL-GA",7,7,19073,19073,0.474196000839839,0.474196000839839
21660,1,"Eugene-Springfield, OR",12,12,282995,282995,0.435327147247981,0.435327147247981
21700,1,"Eureka-Arcata, CA",7,7,64352,64352,0.298857205117935,0.298857205117935
21740,2,"Evanston, WY-UT",8,8,17426,17426,0.484130003635975,0.484130003635975
21780,3,"Evansville, IN",13,41,142118,411735,0.67753551179945,0.139048624139159
21820,1,"Fairbanks-College, AK",2,2,34987,34987,0.877910840406398,0.877910840406398
21860,1,"Fairmont, MN",9,29,14912,19865,0.503286510834953,0.286960803698309
21900,1,"Fairmont, WV",11,11,29017,29017,0.418020330732488,0.418020330732488
21980,1,"Fallon, NV",1,1,9325,9325,1,1
22020,2,"Fargo, ND-MN",37,116,236728,251626,0.351149664949452,0.310888853164792
22060,1,"Faribault-Northfield, MN",6,20,52920,68490,0.376048884238335,0.228747134253122
22100,1,"Farmington, MO",8,8,42520,42520,0.267658957900615,0.267658957900615
22140,1,"Farmington, NM",4,4,60535,60535,0.613360617831221,0.613360617831221
22180,2,"Fayetteville, NC",10,10,249131,249131,0.710170638596811,0.710170638596811
22190,1,"Fayetteville, TN",2,2,7520,7520,0.868748620699412,0.868748620699412
22220,3,"Fayetteville-Springdale-Rogers, AR",34,34,461551,461551,0.127342528661099,0.127342528661099
22260,1,"Fergus Falls, MN",20,82,27042,59743,0.302728928363022,0.0680776946218012
22300,1,"Findlay, OH",11,28,46120,79360,0.752843293523663,0.271565660998675
22340,1,"Fitzgerald, GA",1,1,8977,8977,1,1
22380,1,"Flagstaff, AZ",5,5,89548,89548,0.74754809006702,0.74754809006702
22420,1,"Flint, MI",14,31,164151,407443,0.287625498258969,0.076847976430071
22500,2,"Florence, SC",13,13,68217,68217,0.373234983328263,0.373234983328263
22520,2,"Florence-Muscle Shoals, AL",13,13,81832,81832,0.305623401254684,0.305623401254684
22540,1,"Fond du Lac, WI",11,32,64973,100795,0.494313642018661,0.213537852125112
22580,1,"Forest City, NC",8,8,18084,18084,0.266664386760871,0.266664386760871
22620,1,"Forrest City, AR",8,8,16407,16407,0.633269294095331,0.633269294095331
22660,1,"Fort Collins-Loveland, CO",6,6,282890,282890,0.434038466669198,0.434038466669198
22700,1,"Fort Dodge, IA",13,13,29654,29654,0.708716645373371,0.708716645373371
22780,1,"Fort Leonard Wood, MO",5,5,14649,14649,0.295132551753119,0.295132551753119
22800,1,"Fort Madison, IA",8,8,22865,22865,0.385586452852765,0.385586452852765
22820,1,"Fort Morgan, CO",5,5,19488,19488,0.427074891651567,0.427074891651567
22840,1,"Fort Payne, AL",16,16,33948,33948,0.235382992895559,0.235382992895559
22900,3,"Fort Smith, AR-OK",29,29,163532,163532,0.330276661665555,0.330276661665555
23060,3,"Fort Wayne, IN",17,55,327211,778446,0.666103036715747,0.157701449708559
23140,1,"Frankfort, IN",6,20,21246,54311,0.625331727919033,0.208230196477327
23180,2,"Frankfort, KY",2,2,40390,40390,0.586504930480673,0.586504930480673
23190,1,"Franklin, KY",1,1,10133,10133,1,1
23240,1,"Fredericksburg, TX",1,1,11072,11072,1,1
23300,1,"Freeport, IL",11,29,30751,74772,0.6020374254439,0.207768620833515
23340,1,"Fremont, NE",10,24,32046,39714,0.73315734902687,0.482528619945853
23380,1,"Fremont, OH",7,19,27428,58839,0.399444330352113,0.117141374435495
23420,2,"Fresno, CA",17,17,939322,939322,0.362582045102767,0.362582045102767
23460,1,"Gadsden, AL",11,11,73290,73290,0.264585714242895,0.264585714242895
23500,1,"Gaffney, SC",2,2,14312,14312,0.770969788981231,0.770969788981231
23540,3,"Gainesville, FL",19,19,182964,182964,0.596146427803965,0.596146427803965
23580,1,"Gainesville, GA",6,6,63264,63264,0.506344589414266,0.506344589414266
23620,1,"Gainesville, TX",7,7,22336,22336,0.629196674737379,0.629196674737379
23660,1,"Galesburg, IL",14,35,40331,89599,0.554548854011734,0.227599198639389
23680,1,"Gallipolis, OH",6,21,4936,34094,0.483926758456378,0.0845275820156069
23700,1,"Gallup, NM",1,1,21495,21495,1,1
23780,1,"Garden City, KS",2,9,30084,40335,0.86285095876827,0.505910653538792
23900,1,"Gettysburg, PA",13,34,29408,104127,0.134036048480364,0.0420194917136197
23940,1,"Gillette, WY",2,2,34503,34503,0.91055670957035,0.91055670957035
23980,2,"Glasgow, KY",4,4,19736,19736,0.606828000502457,0.606828000502457
24020,2,"Glens Falls, NY",10,38,35429,147281,0.239609525687261,0.0724785177361058
24100,1,"Gloversville, NY",5,15,26392,56283,0.426523350214699,0.137017295669094
24140,1,"Goldsboro, NC",7,7,40038,40038,0.681166446498934,0.681166446498934
24180,1,"Granbury, TX",6,6,18283,18283,0.433686396549806,0.433686396549806
24220,2,"Grand Forks, ND-MN",24,123,84098,103366,0.508821002593027,0.337708432178034
