r,obs,mmean,lo,hi,cbsa,gamma
1000,1.5846132395612147e-5,7.418778528520034e-6,5.919786478928225e-6,8.956407012650986e-6,39300,6.889725382961161e-6
0,3.889157615075321e-5,2.2759211485077626e-5,2.0429954585767515e-5,2.571417156704433e-5,41620,1.317740458370888e-5
250,1.863375999434776e-5,7.5780994798801314e-6,6.365085203807922e-6,9.160018845064497e-6,41620,9.473741149283264e-6
500,3.057129915106392e-5,1.2186649613967939e-5,1.0509410047103677e-5,1.485701183644394e-5,41620,1.5714287314619984e-5
1000,2.190207820683628e-5,1.810965672437552e-5,1.5996828227557928e-5,2.044972381394256e-5,41620,1.4523543928937193e-6
0,6.443267746599344e-5,2.2924910474699905e-5,1.9902551101000423e-5,2.6435334343932663e-5,34980,3.7997343122060775e-5
250,1.4939057686374327e-5,4.806879787036791e-6,4.064291198462153e-6,5.737542294903564e-6,34980,9.201515391470763e-6
500,1.8387132739797285e-5,5.887475636272832e-6,4.735757636574449e-6,7.214525404349631e-6,34980,1.1172607335447654e-5
1000,2.267698364197329e-5,9.259994300065243e-6,7.824501191646544e-6,1.099824973517092e-5,34980,1.1678733906802371e-5
0,3.1103251805049044e-5,2.6386876102295184e-5,2.007232422849689e-5,3.631085246357112e-5,24340,0
250,1.9648399634137786e-5,9.181728010264762e-6,7.633023346726145e-6,1.2271388574145049e-5,24340,7.377011059992737e-6
500,2.385632558815957e-5,7.271967657912997e-6,5.5855389614705e-6,9.443963570446961e-6,24340,1.4412362017712608e-5
1000,1.6835794666235875e-5,1.0011791124013792e-5,7.554063748828174e-6,1.3448030369778589e-5,24340,3.387764296457286e-6
0,3.7646883114152415e-5,2.845070711646744e-5,2.621298735398885e-5,3.078926940999214e-5,39580,6.857613704160277e-6
250,5.647641975447607e-6,4.441058162074007e-6,3.786441693672831e-6,5.2223941627299204e-6,39580,4.2524781271768676e-7
500,9.9041724969164e-6,6.794545903331857e-6,5.9298058289135334e-6,7.885643588959522e-6,39580,2.018528907956877e-6
1000,1.2664308920588523e-5,8.619807025627787e-6,7.622084072692586e-6,9.391633076475435e-6,39580,3.2726758441130874e-6
0,1.8922285128287106e-5,1.855667227409833e-5,1.610842508342424e-5,2.0704622370029987e-5,29820,0
250,5.105863788801408e-6,3.529294213463202e-6,2.9606602210623034e-6,4.142158772696203e-6,29820,9.63705016105205e-7
500,7.656626126566426e-6,8.221147558727928e-6,7.186510782863436e-6,9.27197615154484e-6,29820,0
1000,1.1895817083676417e-5,1.3150597577312492e-5,1.1720809481512075e-5,1.4474381518336238e-5,29820,0
0,2.5967430394028784e-5,1.5030885783216561e-5,1.291487740067098e-5,1.7315848852448123e-5,41700,8.65158154158066e-6
250,6.345058453727529e-6,3.736931154635126e-6,3.173985226763188e-6,4.435317609786255e-6,41700,1.9097408439412736e-6
500,8.158743720166502e-6,3.5749993977693663e-6,2.7851470591952203e-6,4.444134350401675e-6,41700,3.714609369764827e-6
1000,1.0523993872412062e-5,5.27843689292711e-6,4.563507897202174e-6,6.485732917892689e-6,41700,4.038260954519373e-6
0,5.879306177334213e-5,2.6947224775713323e-5,2.221586300422368e-5,3.273440215034081e-5,40380,2.605865962300132e-5
250,1.645753254023934e-5,6.3021858302657e-6,5.10331360437659e-6,7.6326158014891e-6,40380,8.824916738750239e-6
500,2.5376464196038042e-5,8.813924999426988e-6,6.084077192282229e-6,1.2949751604151818e-5,40380,1.2426712591886224e-5
1000,2.4278030628001346e-5,1.4040728801860645e-5,1.1107981115013123e-5,1.697207593262926e-5,40380,7.305954695372086e-6
0,3.1188785357267724e-5,2.2175574554996337e-5,2.0039803528513996e-5,2.4752534901755704e-5,47260,6.43625045551202e-6
250,8.959214768601327e-6,4.619000976991949e-6,4.061602382603634e-6,5.1974937337586694e-6,47260,3.761721034842658e-6
500,1.2815738959762454e-5,7.246567540994316e-6,6.334924522762447e-6,8.377650606107281e-6,47260,4.438088353655173e-6
1000,1.2059082289224179e-5,1.1329519338855872e-5,9.431966969973914e-6,1.401264781604003e-5,47260,0
0,3.53976140667697e-5,2.2300246651372974e-5,1.813880427183762e-5,2.722364550817929e-5,31140,8.173968558590411e-6
